epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6154,1.05462,9.64692,0.00637,0.0047,0.80303,0.24089,0.18997,0.76437,7.64027,0.00511,0.000361917,0.000361917,0.000361917
2,19.2698,1.01372,7.99762,0.00559,0.89177,0.08692,0.55401,0.35979,1.02006,6.4228,0.00684,0.000725001,0.000725001,0.000725001
3,25.1287,1.00741,6.73551,0.00582,0.57883,0.70064,0.68028,0.47441,1.12025,3.33542,0.00763,0.00108075,0.00108075,0.00108075
4,30.5235,0.99799,5.43344,0.00577,0.70673,0.74481,0.7776,0.53928,1.09948,1.4644,0.00738,0.001078,0.001078,0.001078
5,36.0235,1.00483,4.18682,0.00583,0.76343,0.74752,0.80235,0.5489,1.19378,1.13755,0.00896,0.001067,0.001067,0.001067
6,41.3802,0.95608,3.48023,0.00554,0.70344,0.77979,0.82035,0.5744,1.07143,1.05735,0.00739,0.00105601,0.00105601,0.00105601
7,46.6989,0.99279,2.98957,0.00581,0.80318,0.76929,0.85229,0.61181,1.03848,0.8661,0.00744,0.00104501,0.00104501,0.00104501
8,52.186,0.94173,2.41373,0.00537,0.75565,0.79273,0.85922,0.62791,1.05355,0.7685,0.00769,0.00103401,0.00103401,0.00103401
9,57.5399,0.9639,2.08717,0.00558,0.76375,0.87879,0.85497,0.61671,1.08413,0.75634,0.00787,0.00102301,0.00102301,0.00102301
10,62.7821,0.93778,1.71829,0.00549,0.75576,0.82188,0.82752,0.60122,1.07079,0.75219,0.00738,0.00101201,0.00101201,0.00101201
11,68.1908,0.91895,1.50835,0.00538,0.89201,0.77204,0.85705,0.61433,1.07745,0.74237,0.00773,0.00100101,0.00100101,0.00100101
12,73.4218,0.92285,1.35427,0.00524,0.84142,0.85305,0.88617,0.64962,0.99619,0.66861,0.0066,0.000990012,0.000990012,0.000990012
13,78.7518,0.87428,1.21684,0.00501,0.82358,0.83313,0.87559,0.63978,1.08156,0.74056,0.00785,0.000979013,0.000979013,0.000979013
14,84.0195,0.87903,1.11868,0.00528,0.86069,0.87246,0.9037,0.66438,1.02561,0.65665,0.00715,0.000968014,0.000968014,0.000968014
15,89.4357,0.88674,0.99436,0.00506,0.85572,0.80324,0.88838,0.63257,1.08212,0.63536,0.00763,0.000957015,0.000957015,0.000957015
16,94.6518,0.85649,0.87902,0.00523,0.83382,0.84252,0.88711,0.64938,1.01518,0.69016,0.00715,0.000946016,0.000946016,0.000946016
17,99.8885,0.86086,0.86038,0.00494,0.86159,0.89932,0.90219,0.67312,0.97385,0.58681,0.00668,0.000935018,0.000935018,0.000935018
18,105.234,0.84086,0.80245,0.00477,0.88235,0.8922,0.90035,0.6515,1.05249,0.59216,0.00745,0.000924019,0.000924019,0.000924019
19,110.566,0.86462,0.76251,0.00507,0.89881,0.83903,0.89407,0.65742,0.99749,0.58884,0.00695,0.00091302,0.00091302,0.00091302
20,115.927,0.84566,0.70781,0.00491,0.81234,0.88515,0.88781,0.65287,1.04461,0.5845,0.00723,0.000902021,0.000902021,0.000902021
21,121.295,0.83894,0.68154,0.00479,0.81387,0.91209,0.90204,0.67131,0.9826,0.56803,0.00692,0.000891022,0.000891022,0.000891022
22,126.644,0.82168,0.66633,0.00455,0.85439,0.89512,0.90387,0.67557,0.97149,0.54041,0.00678,0.000880023,0.000880023,0.000880023
23,131.964,0.80426,0.61895,0.00466,0.79451,0.80612,0.87603,0.62994,1.02783,0.68875,0.00717,0.000869024,0.000869024,0.000869024
24,137.63,0.86336,0.66999,0.00508,0.89513,0.8482,0.89353,0.64879,1.05119,0.63304,0.00746,0.000858025,0.000858025,0.000858025
25,142.897,0.89304,0.62212,0.00504,0.86216,0.86634,0.889,0.64983,1.03142,0.56655,0.00718,0.000847026,0.000847026,0.000847026
26,148.149,0.81754,0.59066,0.00461,0.82657,0.91498,0.89459,0.65343,1.01917,0.55056,0.00686,0.000836027,0.000836027,0.000836027
27,153.432,0.82775,0.57021,0.00474,0.91816,0.88083,0.91607,0.67399,1.02695,0.56765,0.00722,0.000825029,0.000825029,0.000825029
28,158.734,0.80756,0.56537,0.00451,0.88401,0.88978,0.91102,0.69084,0.93094,0.51089,0.00636,0.00081403,0.00081403,0.00081403
29,163.984,0.82103,0.5675,0.00459,0.90275,0.85652,0.90058,0.6564,1.03174,0.53802,0.0073,0.000803031,0.000803031,0.000803031
30,169.31,0.81589,0.54424,0.0043,0.89132,0.86648,0.90456,0.65398,1.0442,0.55442,0.00741,0.000792032,0.000792032,0.000792032
31,174.494,0.81678,0.52347,0.00448,0.88282,0.89564,0.91626,0.68227,0.97632,0.49633,0.00674,0.000781033,0.000781033,0.000781033
32,179.763,0.80317,0.52397,0.00454,0.89841,0.8861,0.91763,0.67721,1.0154,0.52384,0.00688,0.000770034,0.000770034,0.000770034
33,185.065,0.78053,0.49227,0.00432,0.86082,0.88863,0.90897,0.641,1.1489,0.55017,0.008,0.000759035,0.000759035,0.000759035
34,190.486,0.78034,0.50706,0.00434,0.89092,0.89203,0.90915,0.6753,0.99573,0.59884,0.0069,0.000748036,0.000748036,0.000748036
35,195.725,0.76905,0.48024,0.00415,0.89657,0.88437,0.90236,0.66434,0.9787,0.55667,0.00671,0.000737037,0.000737037,0.000737037
36,201.36,0.7998,0.4966,0.00445,0.88964,0.88241,0.91019,0.6804,0.95672,0.55281,0.00655,0.000726038,0.000726038,0.000726038
37,206.581,0.80123,0.47737,0.00438,0.9393,0.89916,0.91864,0.68461,0.99936,0.47895,0.00682,0.00071504,0.00071504,0.00071504
